epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1394.54,1.64588,2.41623,1.60731,0.32225,0.32011,0.20458,0.09763,1.68716,3.53701,2.24615,0.000663383,0.000663383,0.000663383
2,2752.38,1.82444,2.24193,1.77026,0.3584,0.27249,0.1977,0.08636,1.80591,3.10031,2.27127,0.00119837,0.00119837,0.00119837
3,4112.02,1.8333,2.14113,1.78737,0.47311,0.34392,0.32365,0.1596,1.62677,2.68494,2.08456,0.00160137,0.00160137,0.00160137
4,5459.86,1.79635,2.03391,1.75826,0.40489,0.36772,0.25487,0.13131,1.64912,2.40327,1.98956,0.001406,0.001406,0.001406
5,6781.9,1.72131,1.91451,1.69215,0.48631,0.39947,0.38112,0.21473,1.39903,2.77413,1.76203,0.001208,0.001208,0.001208
6,8365.22,1.66578,1.838,1.65593,0.50948,0.34897,0.34374,0.21874,1.29738,2.7823,1.67221,0.00101,0.00101,0.00101
7,10485.1,1.62255,1.71668,1.60028,0.55531,0.39947,0.41472,0.25676,1.31512,2.05684,1.6749,0.000812,0.000812,0.000812
8,13194.7,1.56588,1.61526,1.56388,0.4851,0.4127,0.39278,0.25295,1.27123,2.51226,1.63014,0.000614,0.000614,0.000614
9,14901.3,1.52876,1.55608,1.53907,0.54529,0.50529,0.49104,0.31124,1.18629,2.1429,1.52321,0.000416,0.000416,0.000416
10,17757.6,1.46978,1.46779,1.50306,0.56935,0.43122,0.46856,0.31182,1.1364,2.03096,1.4886,0.000218,0.000218,0.000218
